hour,pv,chp_hospital,chp_shopping,chp1_2cells,chp2_2cells,chp_4cells,heatpumps,battery
1,203.32333001517716,960.38,2732.422,729.167,666.667,933.216,0.0,0.0
2,88.12447201702196,960.38,2732.422,729.167,666.667,933.216,0.0,0.0
3,246.323825396977,960.38,1776.7800450097848,729.167,666.667,933.216,0.0,0.0
4,386.4735881228433,960.38,1776.7800450097848,729.167,666.667,933.216,0.0,0.0
5,600.9451947184871,960.38,1776.7800450097848,729.167,666.667,933.216,0.0,0.0
6,998.5670594217969,810.7870039138948,0.0,729.167,666.667,0.0,0.0,65.82791885608901
7,1022.4562235227968,960.38,0.0,579.5740039138948,666.667,0.0,0.0,41.938754755088894
8,1064.3949782778857,960.38,0.0,579.5740039138948,666.667,0.0,0.0,0.0
9,1065.4567189045968,960.38,1776.7800450097848,729.167,666.667,933.216,0.0,0.0
10,951.3196015331526,960.38,1776.7800450097848,729.167,666.667,933.216,0.0,0.0
11,748.5271418313309,960.38,1776.7800450097848,729.167,666.667,933.216,0.0,0.0
12,532.4629242956206,960.38,2732.422,729.167,666.667,933.216,0.0,0.0
